filename_audio;phrase_darija;transcription_fr;intent;speaker
open_door\iman_open_door_01_000_original.wav;7ell l-bab;Ouvre la porte;open_door;Iman
open_door\iman_open_door_01_000_noise.wav;7ell l-bab;Ouvre la porte;open_door;Iman
open_door\iman_open_door_01_000_fast.wav;7ell l-bab;Ouvre la porte;open_door;Iman
open_door\iman_open_door_01_000_slow.wav;7ell l-bab;Ouvre la porte;open_door;Iman
open_door\iman_open_door_01_000_pitch_up.wav;7ell l-bab;Ouvre la porte;open_door;Iman
open_door\iman_open_door_01_000_pitch_down.wav;7ell l-bab;Ouvre la porte;open_door;Iman
open_door\iman_open_door_01_000_quiet.wav;7ell l-bab;Ouvre la porte;open_door;Iman
open_door\iman_open_door_02_001_original.wav;7ell l-bab;Ouvre la porte;open_door;Iman
open_door\iman_open_door_02_001_noise.wav;7ell l-bab;Ouvre la porte;open_door;Iman
open_door\iman_open_door_02_001_fast.wav;7ell l-bab;Ouvre la porte;open_door;Iman
open_door\iman_open_door_02_001_slow.wav;7ell l-bab;Ouvre la porte;open_door;Iman
open_door\iman_open_door_02_001_pitch_up.wav;7ell l-bab;Ouvre la porte;open_door;Iman
open_door\iman_open_door_02_001_pitch_down.wav;7ell l-bab;Ouvre la porte;open_door;Iman
open_door\iman_open_door_02_001_quiet.wav;7ell l-bab;Ouvre la porte;open_door;Iman
open_door\iman_open_door_03_002_original.wav;7ell l-bab;Ouvre la porte;open_door;Iman
open_door\iman_open_door_03_002_noise.wav;7ell l-bab;Ouvre la porte;open_door;Iman
open_door\iman_open_door_03_002_fast.wav;7ell l-bab;Ouvre la porte;open_door;Iman
open_door\iman_open_door_03_002_slow.wav;7ell l-bab;Ouvre la porte;open_door;Iman
open_door\iman_open_door_03_002_pitch_up.wav;7ell l-bab;Ouvre la porte;open_door;Iman
open_door\iman_open_door_03_002_pitch_down.wav;7ell l-bab;Ouvre la porte;open_door;Iman
open_door\iman_open_door_03_002_quiet.wav;7ell l-bab;Ouvre la porte;open_door;Iman
